"species","decimalLatitude","decimalLongitude"
"Eucalyptus tereticornis",-32.428486,151.018863
"Eucalyptus tereticornis",-32.541448,151.823304
"Eucalyptus tereticornis",-33.580485,150.66568
"Eucalyptus tereticornis",-32.65497,151.649903
"Eucalyptus tereticornis",-32.255278,150.908339
"Eucalyptus tereticornis",-33.653833,150.893601
"Eucalyptus tereticornis",-34.205223,150.703923
"Eucalyptus tereticornis",-33.896455,150.863415
"Eucalyptus tereticornis",-33.892942,150.80209
"Eucalyptus tereticornis",-33.923073,150.933223
"Eucalyptus tereticornis",-33.818283,150.980134
"Eucalyptus tereticornis",-31.053663,152.042712
"Eucalyptus tereticornis",-28.980516,152.950194
"Eucalyptus tereticornis",-33.728096,150.773309
"Eucalyptus tereticornis",-33.57967,150.862905
"Eucalyptus tereticornis",-36.295349,149.849417
"Eucalyptus tereticornis",-28.687656,152.164568
"Eucalyptus tereticornis",-32.403679,151.843595
"Eucalyptus tereticornis",-33.837222,150.686624
"Eucalyptus tereticornis",-32.65083,151.19389
"Eucalyptus tereticornis",-33.271098,151.481597
"Eucalyptus tereticornis",-31.960221,150.939731
"Eucalyptus tereticornis",-33.608071,150.912173
"Eucalyptus tereticornis",-34.917522,150.387999
"Eucalyptus tereticornis",-33.740875,150.17922
"Eucalyptus tereticornis",-29.818933,153.030965
"Eucalyptus tereticornis",-28.820088,153.273941
"Eucalyptus tereticornis",-33.766587,150.854989
"Eucalyptus tereticornis",-28.788632,153.291083
"Eucalyptus tereticornis",-33.558254,150.741902
"Eucalyptus tereticornis",-33.814044,150.879715
"Eucalyptus tereticornis",-32.780561,151.549909
"Eucalyptus tereticornis",-32.806164,151.715392
"Eucalyptus tereticornis",-32.597548,151.030108
"Eucalyptus tereticornis",-31.84841,152.601107
"Eucalyptus tereticornis",-28.811451,153.189155
"Eucalyptus tereticornis",-33.791108,150.658357
"Eucalyptus tereticornis",-32.616944,151.707453
"Eucalyptus tereticornis",-34.139217,150.263997
"Eucalyptus tereticornis",-33.544558,150.9491
"Eucalyptus tereticornis",-29.870236,152.892607
"Eucalyptus tereticornis",-31.44109,152.340772
"Eucalyptus tereticornis",-29.345582,153.147012
"Eucalyptus tereticornis",-29.702889,152.87496
"Eucalyptus tereticornis",-33.888666,150.740337
"Eucalyptus tereticornis",-34.761629,150.664328
"Eucalyptus tereticornis",-32.638615,151.66487
"Eucalyptus tereticornis",-31.977017,150.919981
"Eucalyptus tereticornis",-33.72722,150.882939
"Eucalyptus tereticornis",-34.23492,150.694466
"Eucalyptus tereticornis",-35.723971,149.861579
"Eucalyptus tereticornis",-33.782799,150.757534
"Eucalyptus tereticornis",-33.260302,151.543496
"Eucalyptus tereticornis",-33.809005,150.848526
"Eucalyptus tereticornis",-29.351166,152.633323
"Eucalyptus tereticornis",-31.439755,152.460862
"Eucalyptus tereticornis",-32.593218,151.750639
"Eucalyptus tereticornis",-34.206926,150.578231
"Eucalyptus tereticornis",-33.579579,150.864169
"Eucalyptus tereticornis",-32.295822,151.672398
"Eucalyptus tereticornis",-29.641191,152.551662
"Eucalyptus tereticornis",-29.056071,153.381786
"Eucalyptus tereticornis",-29.28992,153.108145
"Eucalyptus tereticornis",-36.69069,149.8423
"Eucalyptus tereticornis",-32.55615,152.161
"Eucalyptus tereticornis",-32.774241,151.356474
"Eucalyptus tereticornis",-33.955858,150.25409
"Eucalyptus tereticornis",-32.84731,151.328299
"Eucalyptus tereticornis",-32.228869,152.540991
"Eucalyptus tereticornis",-30.934814,152.195778
"Eucalyptus tereticornis",-28.761884,153.071316
"Eucalyptus tereticornis",-30.721378,152.202185
"Eucalyptus tereticornis",-34.495996,150.760893
"Eucalyptus tereticornis",-33.84871,151.01549
"Eucalyptus tereticornis",-35.699515,150.186443
"Eucalyptus tereticornis",-33.881562,150.837792
"Eucalyptus tereticornis",-33.781169,150.98906
"Eucalyptus tereticornis",-36.669105,149.731067
"Eucalyptus tereticornis",-28.663259,152.939077
"Eucalyptus tereticornis",-29.853899,152.80437
"Eucalyptus tereticornis",-33.993499,151.014766
"Eucalyptus tereticornis",-34.476864,150.794066
"Eucalyptus tereticornis",-33.722038,150.947131
"Eucalyptus tereticornis",-33.633225,150.808196
"Eucalyptus tereticornis",-31.2093,152.82263
"Eucalyptus tereticornis",-30.712288,152.039241
"Eucalyptus tereticornis",-30.969201,152.006317
"Eucalyptus tereticornis",-33.66196,150.923068
"Eucalyptus tereticornis",-32.709104,151.460433
"Eucalyptus tereticornis",-28.805797,153.342482
"Eucalyptus tereticornis",-33.259808,151.517255
"Eucalyptus tereticornis",-29.217747,152.316445
"Eucalyptus tereticornis",-33.643018,150.87044
"Eucalyptus tereticornis",-33.882463,150.661808
"Eucalyptus tereticornis",-32.63003,151.882985
"Eucalyptus tereticornis",-37.86513,147.86794
"Eucalyptus tereticornis",-38.1414,147.1439
"Eucalyptus tereticornis",-37.99878,147.28818
"Eucalyptus tereticornis",-37.95264,147.10962
"Eucalyptus tereticornis",-38.00806,147.30667
"Eucalyptus tereticornis",-37.9984,147.28766
"Eucalyptus tereticornis",-37.93181,146.98462
"Eucalyptus tereticornis",-37.91778,147.49028
"Eucalyptus tereticornis",-37.99333,147.29222
"Eucalyptus tereticornis",-37.99917,147.30806
"Eucalyptus tereticornis",-37.9031,147.6339
"Eucalyptus tereticornis",-38.01167,147.28472
"Eucalyptus tereticornis",-37.9105,147.51453
"Eucalyptus tereticornis",-28.68351,153.223365
"Eucalyptus tereticornis",-28.682568,153.222195
"Eucalyptus tereticornis",-28.68237,153.2218
"Eucalyptus tereticornis",-28.889632,153.325775
"Eucalyptus tereticornis",-28.549259,153.510116
"Eucalyptus tereticornis",-28.58237,153.538
"Eucalyptus tereticornis",-28.53298,153.538752
"Eucalyptus tereticornis",-28.548383,153.516364
"Eucalyptus tereticornis",-29.052974,153.30365
"Eucalyptus tereticornis",-28.534285,153.541956
"Eucalyptus tereticornis",-29.813782,153.073131
"Eucalyptus tereticornis",-28.528784,153.455195
"Eucalyptus tereticornis",-27.505432,153.014536
"Eucalyptus tereticornis",-22.912556,149.494431
"Eucalyptus tereticornis",-23.083333,148.683333
