"species","X","Y"
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",148.9333,-21.8333
"Phoracantha recurva",151.116669,-23.833334
"Phoracantha recurva",152.28334,-27.566668
"Phoracantha recurva",152.28334,-27.566668
"Phoracantha recurva",152.449997,-27.48333
"Phoracantha recurva",142.649994,-38.333328
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",153.066666,-27.333334
"Phoracantha recurva",152.333328,-27.566668
"Phoracantha recurva",150.600006,-24.533333
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",152.683334,-26.466667
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",153,-27.483334
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",152.933334,-26.85
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",136.816667,-15.733333
"Phoracantha recurva",144.96666,-37.816666
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",152.28334,-27.566668
"Phoracantha recurva",152.333328,-27.566668
"Phoracantha recurva",151.949997,-25
"Phoracantha recurva",152.333328,-27.566668
"Phoracantha recurva",151.833328,-26.533333
"Phoracantha recurva",146.843991,-19.15196
"Phoracantha recurva",146.843991,-19.15196
"Phoracantha recurva",146.843991,-19.15196
"Phoracantha recurva",152.94477,-27.44307
"Phoracantha recurva",146.81666,-19.26666
"Phoracantha recurva",146.843991,-19.15196
"Phoracantha recurva",146.843991,-19.15196
"Phoracantha recurva",152.94477,-27.44307
"Phoracantha recurva",146.801,-19.2828
"Phoracantha recurva",152.504,-32.377
"Phoracantha recurva",153.052,-31.063
"Phoracantha recurva",153.052,-31.063
"Phoracantha recurva",149.059,-35.261
"Phoracantha recurva",150.05,-25.45
"Phoracantha recurva",150.016667,-25.433333
"Phoracantha recurva",133.333328,-20.966669
"Phoracantha recurva",130.933334,-12.7
"Phoracantha recurva",145.283333,-37.8
"Phoracantha recurva",152.283333,-27.566667
"Phoracantha recurva",132.133333,-26.3
"Phoracantha recurva",146.816666,-19.26667
"Phoracantha recurva",152.033325,-25.58333
"Phoracantha recurva",134.3667,-23.58333
"Phoracantha recurva",146.933304,-36.083328
"Phoracantha recurva",133.95,-23.75
"Phoracantha recurva",139.75,-35.51667
"Phoracantha recurva",153.15,-27.05
"Phoracantha recurva",141.7,-31.08333
"Phoracantha recurva",128.1,-15.46667
"Phoracantha recurva",131.4167,-13.46667
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",149.916672,-37.066669
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",146.783341,-31.15
"Phoracantha recurva",149.13,-35.23
"Phoracantha recurva",133.883333,-23.633333
"Phoracantha recurva",149.133333,-35.3
"Phoracantha recurva",152.350006,-24.866671
"Phoracantha recurva",123.45,-33.48333
"Phoracantha recurva",148.916667,-34.85
"Phoracantha recurva",150.3,-35.5
"Phoracantha recurva",131.399994,-31.383329
"Phoracantha recurva",121.15,-30.95
"Phoracantha recurva",133.8667,-23.7
"Phoracantha recurva",144.95,-35.533333
"Phoracantha recurva",150.7333,-23.11667
"Phoracantha recurva",149.0667,-35.2
"Phoracantha recurva",153.133333,-27.883333
"Phoracantha recurva",149.133331,-35.283329
"Phoracantha recurva",114.616667,-28.766667
"Phoracantha recurva",150.4,-35.5
"Phoracantha recurva",151.266663,-29.35
"Phoracantha recurva",150.7333,-23.11667
