"species","X","Y"
"Eucalyptus camaldulensis",150.980729,-32.501199
"Eucalyptus camaldulensis",151.002243,-32.509545
"Eucalyptus camaldulensis",144.359886,-35.72802
"Eucalyptus camaldulensis",144.935767,-35.738756
"Eucalyptus camaldulensis",150.619677,-32.355146
"Eucalyptus camaldulensis",148.164635,-32.331771
"Eucalyptus camaldulensis",150.978608,-32.499883
"Eucalyptus camaldulensis",150.783725,-32.448635
"Eucalyptus camaldulensis",144.188536,-35.652984
"Eucalyptus camaldulensis",146.3559,-36.2006
"Eucalyptus camaldulensis",142.02028,-35.57862
"Eucalyptus camaldulensis",143.79394,-37.65968
"Eucalyptus camaldulensis",141.05837,-36.7736
"Eucalyptus camaldulensis",141.36749,-36.35709
"Eucalyptus camaldulensis",143.4736,-37.10042
"Eucalyptus camaldulensis",143.09274,-37.13517
"Eucalyptus camaldulensis",143.123,-36.123
"Eucalyptus camaldulensis",145.38417,-36.41139
"Eucalyptus camaldulensis",140.9583,-33.9237
"Eucalyptus camaldulensis",142.3997,-34.74928
"Eucalyptus camaldulensis",146.95999,-37.94006
"Eucalyptus camaldulensis",144.31528,-37.13722
"Eucalyptus camaldulensis",141.00103,-37.10866
"Eucalyptus camaldulensis",141.08171,-34.09109
"Eucalyptus camaldulensis",142.15056,-37.10833
"Eucalyptus camaldulensis",141.39445,-37.23484
"Eucalyptus camaldulensis",143.77755,-37.60259
"Eucalyptus camaldulensis",143.32534,-37.76774
"Eucalyptus camaldulensis",142.37747,-34.65769
"Eucalyptus camaldulensis",144.96903,-36.11413
"Eucalyptus camaldulensis",147.25211,-36.25125
"Eucalyptus camaldulensis",141.7915,-37.5412
"Eucalyptus camaldulensis",145.00888,-35.90861
"Eucalyptus camaldulensis",145.44726,-35.85402
"Eucalyptus camaldulensis",141.83806,-37.03472
"Eucalyptus camaldulensis",143.97944,-37.94
"Eucalyptus camaldulensis",146.37545,-36.56083
"Eucalyptus camaldulensis",144.74056,-36.10889
"Eucalyptus camaldulensis",146.39493,-36.11457
"Eucalyptus camaldulensis",143.53177,-37.05515
"Eucalyptus camaldulensis",146.8099,-37.98204
"Eucalyptus camaldulensis",142.605,-36.82889
"Eucalyptus camaldulensis",145.14432,-35.84772
"Eucalyptus camaldulensis",141.48958,-37.15676
"Eucalyptus camaldulensis",141.651,-37.3022
"Eucalyptus camaldulensis",143.42677,-37.71926
"Eucalyptus camaldulensis",143.3175,-37.89094
"Eucalyptus camaldulensis",141.23355,-34.10438
"Eucalyptus camaldulensis",146.0608,-36.5086
"Eucalyptus camaldulensis",143.34722,-35.67056
"Eucalyptus camaldulensis",144.87573,-37.671
"Eucalyptus camaldulensis",143.41321,-37.71471
"Eucalyptus camaldulensis",142.80769,-37.18198
"Eucalyptus camaldulensis",142.28361,-37.00472
"Eucalyptus camaldulensis",144.68532,-36.31838
"Eucalyptus camaldulensis",142.33611,-34.44361
"Eucalyptus camaldulensis",146.29015,-36.17726
"Eucalyptus camaldulensis",145.17361,-36.61389
"Eucalyptus camaldulensis",142.41972,-34.60654
"Eucalyptus camaldulensis",143.59654,-37.26252
"Eucalyptus camaldulensis",143.14123,-37.00701
"Eucalyptus camaldulensis",145.22194,-36.37861
"Eucalyptus camaldulensis",141.35951,-34.12981
"Eucalyptus camaldulensis",145.2265,-36.82008
"Eucalyptus camaldulensis",146.21806,-36.04833
"Eucalyptus camaldulensis",143.24678,-37.44636
"Eucalyptus camaldulensis",144.2921,-36.7841
"Eucalyptus camaldulensis",146.27226,-36.1728
"Eucalyptus camaldulensis",141.5836,-36.93379
"Eucalyptus camaldulensis",142.3468,-34.7606
"Eucalyptus camaldulensis",142.21313,-37.56526
"Eucalyptus camaldulensis",144.28889,-36.97611
"Eucalyptus camaldulensis",145.40203,-36.85162
"Eucalyptus camaldulensis",144.06038,-38.03594
"Eucalyptus camaldulensis",141.55878,-37.19733
"Eucalyptus camaldulensis",142.4596,-37.7014
"Eucalyptus camaldulensis",145.75275,-36.66968
"Eucalyptus camaldulensis",143.64166,-37.73993
"Eucalyptus camaldulensis",145.0071,-35.92479
"Eucalyptus camaldulensis",142.39827,-34.75025
"Eucalyptus camaldulensis",141.96804,-35.69987
"Eucalyptus camaldulensis",144.99821,-37.50895
"Eucalyptus camaldulensis",143.40202,-37.73918
"Eucalyptus camaldulensis",145.1437,-36.92173
"Eucalyptus camaldulensis",145.45147,-36.1411
"Eucalyptus camaldulensis",141.20563,-34.11313
"Eucalyptus camaldulensis",143.79487,-37.47561
"Eucalyptus camaldulensis",141.47094,-37.20701
"Eucalyptus camaldulensis",144.95583,-37.70083
"Eucalyptus camaldulensis",146.22226,-36.45925
"Eucalyptus camaldulensis",144.95108,-37.58001
"Eucalyptus camaldulensis",144.86215,-36.87945
"Eucalyptus camaldulensis",142.3446,-34.74934
"Eucalyptus camaldulensis",143.80626,-37.66497
"Eucalyptus camaldulensis",144.23028,-36.83028
"Eucalyptus camaldulensis",144.85135,-37.55487
"Eucalyptus camaldulensis",141.12156,-37.24416
"Eucalyptus camaldulensis",142.35402,-34.6901
"Eucalyptus camaldulensis",144.95049,-37.58191
