"species","decimalLatitude","decimalLongitude"
"Eucalyptus saligna",-30.19477,152.67903
"Eucalyptus saligna",-28.948377,152.276388
"Eucalyptus saligna",-31.589782,151.616408
"Eucalyptus saligna",-33.791589,151.1614
"Eucalyptus saligna",-35.348365,150.167586
"Eucalyptus saligna",-31.21587,152.237227
"Eucalyptus saligna",-32.22739,152.007715
"Eucalyptus saligna",-32.34814,152.140547
"Eucalyptus saligna",-31.40954,151.835852
"Eucalyptus saligna",-31.385264,151.945138
"Eucalyptus saligna",-31.472738,152.343126
"Eucalyptus saligna",-31.474103,152.147862
"Eucalyptus saligna",-28.52797,152.351729
"Eucalyptus saligna",-34.735855,150.583959
"Eucalyptus saligna",-33.865202,150.647653
"Eucalyptus saligna",-33.81499,151.117278
"Eucalyptus saligna",-31.154709,152.203453
"Eucalyptus saligna",-34.445696,150.780633
"Eucalyptus saligna",-28.510667,153.466031
"Eucalyptus saligna",-28.728685,152.41089
"Eucalyptus saligna",-31.633493,152.523919
"Eucalyptus saligna",-33.734071,151.027241
"Eucalyptus saligna",-31.236802,152.357473
"Eucalyptus saligna",-33.794349,151.08584
"Eucalyptus saligna",-29.910217,152.121098
"Eucalyptus saligna",-31.626941,152.1354
"Eucalyptus saligna",-32.966677,151.479764
"Eucalyptus saligna",-33.728822,151.222891
"Eucalyptus saligna",-33.835929,151.062406
"Eucalyptus saligna",-30.444036,152.922072
"Eucalyptus saligna",-33.316757,151.300809
"Eucalyptus saligna",-32.164367,151.7761
"Eucalyptus saligna",-31.568529,152.313748
"Eucalyptus saligna",-30.105399,152.624374
"Eucalyptus saligna",-30.08798,152.451335
"Eucalyptus saligna",-33.343519,151.419268
"Eucalyptus saligna",-30.167765,152.708198
"Eucalyptus saligna",-30.807005,152.236369
"Eucalyptus saligna",-34.885045,150.385122
"Eucalyptus saligna",-29.276517,152.487937
"Eucalyptus saligna",-32.068439,151.372548
"Eucalyptus saligna",-32.970572,151.530546
"Eucalyptus saligna",-31.630621,152.14591
"Eucalyptus saligna",-29.330961,152.384113
"Eucalyptus saligna",-33.725172,151.056687
"Eucalyptus saligna",-34.446243,150.816474
"Eucalyptus saligna",-32.354408,152.201664
"Eucalyptus saligna",-30.39122,153.009348
"Eucalyptus saligna",-28.431556,153.080712
"Eucalyptus saligna",-36.333958,149.962532
"Eucalyptus saligna",-33.136352,151.572026
"Eucalyptus saligna",-33.877069,151.105104
"Eucalyptus saligna",-29.954698,152.093245
"Eucalyptus saligna",-33.719808,151.053894
"Eucalyptus saligna",-32.904491,151.555589
"Eucalyptus saligna",-31.499784,152.168276
"Eucalyptus saligna",-34.39528,150.835245
"Eucalyptus saligna",-31.410671,151.881902
"Eucalyptus saligna",-28.347811,152.67516
"Eucalyptus saligna",-30.791762,152.211615
"Eucalyptus saligna",-28.337906,152.56032
"Eucalyptus saligna",-33.122437,151.397427
"Eucalyptus saligna",-30.406082,152.746532
"Eucalyptus saligna",-33.74975,151.056048
"Eucalyptus saligna",-34.547297,150.70379
"Eucalyptus saligna",-33.355568,151.399719
"Eucalyptus saligna",-33.539587,150.633965
"Eucalyptus saligna",-33.260379,151.3353
"Eucalyptus saligna",-29.463414,152.338968
"Eucalyptus saligna",-31.962967,152.455027
"Eucalyptus saligna",-33.347476,151.360109
"Eucalyptus saligna",-31.549505,152.158239
"Eucalyptus saligna",-33.051093,151.658749
"Eucalyptus saligna",-32.232696,151.29149
"Eucalyptus saligna",-31.217112,152.669326
"Eucalyptus saligna",-31.530427,151.609342
"Eucalyptus saligna",-32.932047,151.531775
"Eucalyptus saligna",-33.612252,150.693346
"Eucalyptus saligna",-33.004038,151.682805
"Eucalyptus saligna",-33.787366,151.178126
"Eucalyptus saligna",-31.535322,151.61525
"Eucalyptus saligna",-33.906745,151.240256
"Eucalyptus saligna",-33.399977,151.39843
"Eucalyptus saligna",-32.3361,152.122605
"Eucalyptus saligna",-28.532994,152.364284
"Eucalyptus saligna",-32.150381,151.522011
"Eucalyptus saligna",-31.594998,152.289208
"Eucalyptus saligna",-34.418326,150.782974
"Eucalyptus saligna",-33.474277,151.408801
"Eucalyptus saligna",-29.445009,152.271035
"Eucalyptus saligna",-33.888885,150.884638
"Eucalyptus saligna",-33.773717,151.161127
"Eucalyptus saligna",-33.38396,151.41075
"Eucalyptus saligna",-33.793474,151.063067
"Eucalyptus saligna",-33.709387,151.074176
"Eucalyptus saligna",-33.811857,151.164422
"Eucalyptus saligna",-32.165085,151.301137
"Eucalyptus saligna",-35.379349,150.22815
"Eucalyptus saligna",-31.616506,151.775258
"Eucalyptus saligna",-31.591547,151.723524
"Eucalyptus saligna",-33.737088,151.146054
"Eucalyptus saligna",-36.327507,150.089085
"Eucalyptus saligna",-32.090043,151.38881
"Eucalyptus saligna",-28.621296,152.489747
"Eucalyptus saligna",-36.344638,150.01604
"Eucalyptus saligna",-35.47757,150.330198
"Eucalyptus saligna",-31.507247,152.200263
"Eucalyptus saligna",-35.507145,150.240058
"Eucalyptus saligna",-31.416893,152.726255
"Eucalyptus saligna",-33.278758,151.377491
"Eucalyptus saligna",-34.434818,150.805824
"Eucalyptus saligna",-30.323579,152.581305
"Eucalyptus saligna",-33.738523,151.132964
"Eucalyptus saligna",-30.13447,152.454971
"Eucalyptus saligna",-32.298497,151.774742
"Eucalyptus saligna",-33.900931,151.195982
